"Year","State","Plant","Long","Plant latitude","Coal","Oil","Gas","Nuclear","Hydro","Biomass","Wind","Solar","Geo","Other1","Other2"
"2018","AK","Kake","-133.922557","56.962983","0","2,133","0","0","0","0","0","0","0","0","0"
"2018","AK","Kasidaya Creek Hydro","-135.3408","59.4072","0","0","0","0","10,606","0","0","0","0","0","0"
"2018","AK","Kasigluk","-162.5197","60.8731","0","2,507","0","0","0","0","0","0","0","0","0"
"2018","AK","Ketchikan","-131.633425","55.344641","0","0","0","0","15,741","0","0","0","0","0","0"
"2018","AK","Kiana","-160.428592","66.973889","0","1,632","0","0","0","0","0","0","0","0","0"
"2018","AK","King Cove","-162.3103","55.061683","0","809","0","0","3,728","0","0","0","0","0","0"
"2018","AK","Kivalina","-164.538447","67.726644","0","1,261","0","0","0","0","0","0","0","0","0"
"2018","AK","Klawock","-132.981389","55.557778","","","","","","","","","","",""
"2018","AK","Klawock Power Generation Station","-133.08535","55.553197","0","1,331","0","0","0","0","0","0","0","0","0"
"2018","AK","Kodiak Microgrid","-152.396982","57.789956","0","74","0","0","0","0","0","0","0","0","0"
"2018","AK","Kotlik","-163.553106","63.03215","0","1,922","0","0","0","0","0","0","0","0","0"
"2018","AK","Kotzebue","-162.556944","66.837778","0","16,427","0","0","0","0","4,960","0","0","0","-90"
"2018","AK","Koyuk","-161.167103","64.932089","0","1,291","0","0","0","0","0","0","0","0","0"
"2018","AK","Lake Dorothy Hydroelectric Project","-134.0533","58.2325","0","0","0","0","81,558","0","0","0","0","0","0"
"2018","AK","Lemon Creek","-134.4953","58.3536","0","-695","0","0","0","0","0","0","0","0","0"
"2018","AK","Mahoney Lake Hydroelectric","-131.537778","55.419444","","","","","","","","","","",""
"2018","AK","Marshall","-162.085147","61.878186","0","1,466","0","0","0","0","0","0","0","0","0"
"2018","AK","McGrath","-155.594997","62.95699","0","2,111","0","0","0","0","0","0","0","0","0"
"2018","AK","Mountain Village","-163.729072","62.085569","0","2,724","0","0","0","0","0","0","0","0","0"
"2018","AK","Naknek","-157.007222","58.730417","0","24,329","0","0","0","0","0","0","0","0","0"
"2018","AK","New Stuyahok","-157.325528","59.448358","0","1,803","0","0","0","0","0","0","0","0","0"
"2018","AK","Newhalen","-154.698735","59.899054","0","61","0","0","3,263","0","0","0","0","0","0"
"2018","AK","Nikiski Co-Generation","-151.377713","60.676539","0","0","404,744","0","0","0","0","0","0","0","0"
"2018","AK","Noatak","-162.965728","67.570931","0","1,898","0","0","0","0","0","0","0","0","0"
"2018","AK","Noorvik","-161.038717","66.834519","0","1,972","0","0","0","0","0","0","0","0","0"
"2018","AK","North Pole","-147.3481","64.7356","0","369,250","0","0","0","0","0","0","0","0","0"
"2018","AK","Northway","-141.9372","62.9617","0","1,102","0","0","0","0","0","0","0","0","0"
"2018","AK","NSB Anaktuvuk Pass","-151.741017","68.13795","0","3,804","0","0","0","0","0","0","0","0","0"
"2018","AK","NSB Atqasuk Utility","-157.4252","70.4826","0","2,965","0","0","0","0","0","0","0","0","0"
"2018","AK","NSB Kaktovik Utility","-143.619033","70.125617","0","4,449","0","0","0","0","0","0","0","0","0"
"2018","AK","NSB Nuiqsut Utility","-150.993492","70.220565","0","926","5,854","0","0","0","0","0","0","0","0"
"2018","AK","NSB Point Hope Utility","-166.737211","68.348424","0","6,512","0","0","0","0","0","0","0","0","0"
"2018","AK","NSB Point Lay Utility","-163.005833","69.740833","0","4,032","0","0","0","0","0","0","0","0","0"
"2018","AK","NSB Wainwright Utility","-160.020461","70.642877","0","6,947","0","0","0","0","0","0","0","0","0"
"2018","AK","Nunapitchuk","-162.459756","60.89588","","","","","","","","","","",""
"2018","AK","Nymans Plant Microgrid","-152.507044","57.731608","0","0","0","0","0","0","0","0","0","0","0"
"2018","AK","Orca","-145.752983","60.555889","0","7,021","0","0","0","0","0","0","0","0","0"
"2018","AK","Pelican","-136.220095","57.957197","0","162","0","0","1,147","0","0","0","0","0","0"
"2018","AK","Petersburg","-132.957091","56.81104","0","413","0","0","8,906","0","0","0","0","0","0"
"2018","AK","Pillar Mountain Wind Project Microgrid","-152.4406","57.7869","0","0","0","0","0","0","26,170","0","0","0","0"
"2018","AK","Pilot Station","-162.880706","61.936456","0","1,802","0","0","0","0","0","0","0","0","0"
"2018","AK","Port Lions Microgrid","-152.855441","57.864775","","","","","","","","","","",""
"2018","AK","Power Creek","-145.604539","60.588686","0","0","0","0","15,171","0","0","0","0","0","0"
"2018","AK","Purple Lake","-131.544978","55.091263","0","0","0","0","8,157","0","0","0","0","0","0"
"2018","AK","Quinhagak","-161.910647","59.747436","0","1,591","0","0","0","0","0","0","0","0","0"
"2018","AK","S W Bailey","-131.69696","55.357397","0","18,614","0","0","0","0","0","0","0","0","0"
"2018","AK","Salmon Creek 1","-134.4631","58.3269","0","0","0","0","24,389","0","0","0","0","0","0"
"2018","AK","Savoonga","-170.475661","63.695267","0","2,095","0","0","0","0","0","0","0","0","0"
"2018","AK","Scammon Bay","-165.581497","61.843036","0","1,641","0","0","0","0","0","0","0","0","0"
"2018","AK","Selawik","-160.014808","66.606778","0","2,685","0","0","0","0","0","0","0","0","0"
"2018","AK","Seldovia","-151.713439","59.439542","0","85","0","0","0","0","0","0","0","0","0"
"2018","AK","Seward (AK)","-149.43501","60.130922","0","144","0","0","0","0","0","0","0","0","0"
"2018","AK","Shishmaref","-166.073589","66.255072","0","1,590","0","0","0","0","0","0","0","0","0"
"2018","AK","Shungnak","-157.140206","66.888114","0","1,583","0","0","0","0","0","0","0","0","0"
"2018","AK","Silvis","-131.517758","55.381402","0","0","0","0","9,221","0","0","0","0","0","0"
"2018","AK","Skagway","-135.3131","59.4545","0","-37","0","0","1,988","0","0","0","0","0","0"
"2018","AK","Slana Generating Station","-143.588869","62.592756","0","1,336","0","0","0","0","0","0","0","0","0"
"2018","AK","Snake River","-165.429814","64.505331","0","30,191","0","0","0","0","2,044","0","0","0","0"
"2018","AK","Snettisham","-133.737","58.1415","0","0","0","0","259,856","0","0","0","0","0","0"
"2018","AK","Soldotna","-150.997222","60.499444","0","0","23,756","0","0","0","0","0","0","0","0"
"2018","AK","Solomon Gulch","-146.3033","61.0828","0","0","0","0","42,087","0","0","0","0","0","0"
"2018","AK","South Fork","-132.891111","55.563333","0","0","0","0","4,146","0","0","0","0","0","0"
"2018","AK","Southcentral Power Project","-149.905304","61.167417","0","0","815,365","0","0","0","0","0","0","0","0"
"2018","AK","St Marys IC","-163.172567","62.051525","0","3,024","0","0","0","0","0","0","0","0","0"
"2018","AK","St. Michael","-162.0383","63.4775","","","","","","","","","","",""
"2018","AK","Stebbins","-162.286322","63.521047","0","3,462","0","0","0","0","0","0","0","0","0"
"2018","AK","Swampy Acres","-152.48028","57.77556","0","0","0","0","0","0","0","0","0","0","0"
"2018","AK","Swan Lake","-131.356111","55.615208","0","0","0","0","58,416","0","0","0","0","0","0"
"2018","AK","Sweetheart Lake Hydroelectric Facility","-133.6867","57.9449","","","","","","","","","","",""
"2018","AK","Terror Lake Microgrid","-152.895","57.6861","0","0","0","0","121,969","0","0","0","0","0","0"
"2018","AK","Tesoro Kenai Cogeneration Plant","-151.3815","60.677","0","0","64,727","0","0","0","0","0","0","0","0"
"2018","AK","Thorne Bay Plant","-132.52892","55.68586","0","77","0","0","0","0","0","0","0","0","0"
"2018","AK","TNSG North Plant","-148.383611","70.235278","0","0","61,008","0","0","0","0","0","0","0","0"
"2018","AK","TNSG South Plant","-148.466667","70.2","0","0","-480","0","0","0","0","0","0","0","0"
